Device,Brand,Model,OS,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Season,RAM_GB,Storage_GB,Battery_%_At_Failure,Warranty_Status,Previous_Repairs,Symptom1,Symptom2,Symptom3,Faulty_Component,Severity,Repair_Cost_INR,Repair_Time_Days,Solution
Mobile,Samsung,Galaxy S24 Ultra,Android 14,46,9,34,Education,Monsoon,4,512,53,Extended Warranty,4,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,2996,1,"Recalibrate battery. If issue persists, replace battery."
Laptop,HP,Pavilion 15,Windows 11 Pro,74,8,56,Business,Winter,8,256,18,Under Warranty,4,Thermal Throttling,High CPU Temp,Sudden Shutdown Under Load,Thermal Paste,Medium,750,1,Repaste CPU and GPU with high-quality thermal compound.
Mobile,Google,Pixel 7a,Android 14,81,15,79,Healthcare,Autumn,16,128,17,Extended Warranty,1,No Sound,Calls OK,Headphones Work,Speaker,Medium,1064,1,"Clean speaker grille. If no improvement, replace speaker unit."
Smart TV,MI,P1 Pro,WebOS 23,40,1,39,Developer,Autumn,1,8,0,Extended Warranty,0,Remote Not Working,Slow Response,IR Not Detected,Remote Sensor,Low,1624,2,Replace remote batteries. Try universal remote. Replace IR sensor if faulty.
Tablet,Lenovo,Tab M9,iPadOS 17,40,13,37,Content Creator,Autumn,6,128,65,Extended Warranty,3,Loose Charging,Slow Charging,Not Charging,Charging Port,Medium,2107,3,Clean port with compressed air. Replace charging port.
Laptop,MSI,Creator Z16,Windows 11 Pro,78,8,66,Healthcare,Monsoon,64,256,62,Extended Warranty,4,Overheating,Fan Noise,Auto Shutdown,Cooling Fan,High,1254,1,Clean dust from fan/heatsink. Replace thermal paste. Replace fan if faulty.
Tablet,Apple,iPad Pro 11 M4,Android 13,76,10,69,Student,Spring,12,1024,94,Expired,3,Loose Charging,Slow Charging,Not Charging,Charging Port,Medium,1346,2,Clean port with compressed air. Replace charging port.
Laptop,Apple,MacBook Air 13 M3,Linux Mint,32,7,28,Business,Winter,16,1024,29,Extended Warranty,4,Lines On Screen,Display Flickering,Backlight Failure,Display,High,13844,5,Check display cable connection. Replace display panel if faulty.
Laptop,Asus,TUF Gaming A15,Linux Mint,54,2,37,Gaming,Winter,8,256,24,Expired,3,Frequent BSOD,System Freeze,Memory Dump Error,RAM,High,1570,2,Run MemTest86. Replace faulty RAM. Ensure compatible RAM specs.
Laptop,Apple,MacBook Pro 14 M3,macOS Sonoma,31,1,14,Business,Winter,8,1024,29,Under Warranty,1,Hinge Broken,Lid Not Closing,Hinge Cracking,Hinge,Medium,4488,3,Replace laptop hinge. Physical repair at service center.
Laptop,Microsoft,Surface Book 3,Linux Mint,59,8,42,Healthcare,Summer,16,512,66,Under Warranty,2,Lines On Screen,Display Flickering,Backlight Failure,Display,High,8663,3,Check display cable connection. Replace display panel if faulty.
Router,TP-Link,Archer AXE300,Stock Firmware,77,2,59,Business,Autumn,0,0,0,Expired,4,Weak WiFi Signal,Dead Zones,Slow Speed,WiFi Antenna,High,1917,1,Reposition router to central location. Upgrade to WiFi extender or mesh system.
Desktop,Lenovo,ThinkStation P360,Windows 10 Pro,61,16,46,Content Creator,Summer,8,4096,0,Extended Warranty,0,Thermal Warning,Loud Noise,CPU Overheating,CPU Fan,High,472,1,Clean CPU fan and heatsink. Replace thermal paste. Replace fan if noisy.
Printer,Xerox,WorkCentre 6515,Windows 10,84,9,72,Office,Autumn,0,0,0,Extended Warranty,0,Printer Not Starting,Error Code On Display,All Lights Blinking,Main Board,Critical,5323,5,Factory reset. Flash firmware. Replace main board if reset fails.
Smart TV,TCL,C835 Mini LED,Android TV 12,2,1,1,Gaming,Monsoon,2,32,0,Extended Warranty,4,No Sound,Distorted Audio,One Speaker Dead,Speaker,Medium,1513,3,Check audio settings. Update firmware. Replace internal speakers.
Laptop,Lenovo,Yoga 9i,macOS Sonoma,42,9,30,Content Creator,Spring,32,1024,37,Expired,1,Thermal Throttling,High CPU Temp,Sudden Shutdown Under Load,Thermal Paste,Medium,913,1,Repaste CPU and GPU with high-quality thermal compound.
Mobile,Xiaomi,12 Pro,iOS 15,6,2,5,Education,Spring,8,256,9,Under Warranty,1,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,6021,3,Clear app data. Factory reset. Replace camera if hardware issue.
Mobile,OnePlus,Nord CE 2,Android 13,51,9,36,Developer,Winter,12,256,9,Expired,1,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,2414,2,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Mobile,Realme,11 Pro+,Android 12,62,4,59,Content Creator,Summer,8,1024,82,Extended Warranty,4,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,1854,5,"Try original charger. If issue persists, replace Charging IC."
Smartwatch,Garmin,Fenix 7X Solar,RTOS,76,6,75,Student,Autumn,2,8,44,Expired,2,No Haptic Feedback,Weak Vibration,Notification Not Felt,Vibration Motor,Low,1006,3,Check haptic settings. Replace vibration motor module.
Tablet,Realme,Pad 2,Android 14,72,3,66,Student,Spring,3,256,50,Expired,4,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,1139,1,Recalibrate Touch ID. Replace home button assembly.
Smart TV,LG,OLED C3,WebOS 22,67,3,58,Content Creator,Winter,4,32,0,Under Warranty,0,TV Not Starting,Standby Light Blinking,Shuts Down Randomly,Power Board,High,6908,2,Replace power supply board. Check capacitors for bulging.
Desktop,Dell,OptiPlex 7010,Windows 10 Pro,70,10,63,Content Creator,Winter,8,512,0,Under Warranty,2,Date Reset On Boot,BIOS Settings Lost,Boot Error,CMOS Battery,Low,96,1,Replace CMOS battery (CR2032). Reconfigure BIOS settings.
Router,Airtel,Airtel Xstream Box,RouterOS,82,2,74,Healthcare,Spring,0,0,0,Expired,1,Router Hanging,Settings Reset,Cannot Access Admin Panel,Firmware,Medium,253,1,Update to latest firmware. Factory reset if issues persist. Reconfigure settings.
Printer,Canon,PIXMA MG3620,Windows 10,84,9,76,Student,Autumn,0,0,0,Extended Warranty,4,Faded Print,Streaky Output,Color Missing,Ink Cartridge,Low,1259,1,Replace or refill ink cartridges. Run printhead cleaning cycle.
Mobile,Samsung,Galaxy F54,Android 12,32,4,18,Content Creator,Winter,6,512,19,Expired,3,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,2106,3,"Recalibrate battery. If issue persists, replace battery."
Tablet,Amazon,Fire HD 8,Android 13,34,16,25,Gaming,Summer,16,1024,69,Under Warranty,4,WiFi Dropping,Cannot Connect,Slow WiFi,WiFi Module,Medium,2289,3,Update firmware. Reset network settings. Replace WiFi module.
Desktop,Apple,Mac Mini M2 Pro,Linux Mint 21,17,5,11,Student,Monsoon,8,2048,0,Extended Warranty,2,No Internet,LAN Not Detected,Slow Network,Network Card,Medium,872,2,Update NIC drivers. Replace network card if faulty.
Desktop,Dell,Inspiron 3910,Fedora 38,20,15,15,Healthcare,Autumn,16,512,0,Under Warranty,3,System Shutdown Under Load,Thermal Throttling,High All-Core Temp,Cooling System,High,2279,1,Clean entire cooling system. Add case fans. Repaste CPU and GPU.
Mobile,Motorola,Razr 40 Ultra,iOS 15,56,12,54,Content Creator,Monsoon,6,512,57,Expired,4,No Sound,Calls OK,Headphones Work,Speaker,Medium,815,2,"Clean speaker grille. If no improvement, replace speaker unit."
Mobile,Apple,iPhone 15,Android 12,68,9,57,Gaming,Summer,16,1024,44,Under Warranty,3,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,1039,2,"Recalibrate battery. If issue persists, replace battery."
Laptop,HP,Pavilion 15,Ubuntu 22.04,7,12,1,Healthcare,Monsoon,32,1024,93,Under Warranty,2,Thermal Throttling,High CPU Temp,Sudden Shutdown Under Load,Thermal Paste,Medium,565,1,Repaste CPU and GPU with high-quality thermal compound.
Router,TP-Link,Archer AX55,RouterOS,59,10,46,Education,Monsoon,0,0,0,Extended Warranty,3,Router Hot To Touch,Randomly Disconnecting,Slow After Running Long,Overheating,Medium,388,1,Improve ventilation. Place router in open area. Consider adding heatsink.
Laptop,Dell,Alienware m18,Windows 10,67,10,50,Education,Monsoon,16,256,68,Expired,0,Overheating,Fan Noise,Auto Shutdown,Cooling Fan,High,1879,2,Clean dust from fan/heatsink. Replace thermal paste. Replace fan if faulty.
Router,Mi,AIoT Router AX3600,DD-WRT,80,1,75,Business,Winter,0,0,0,Under Warranty,0,No Internet Despite Connection,All LEDs Off,Cannot Factory Reset,Main Board,Critical,4733,3,"Flash firmware via recovery mode. If fails, replace router."
Laptop,Dell,Alienware m18,Linux Mint,76,13,71,Gaming,Winter,32,256,74,Extended Warranty,3,No Audio,Distorted Sound,One Speaker Dead,Speaker,Low,2347,2,Update audio drivers. Check audio settings. Replace speaker unit.
Mobile,Samsung,Galaxy Z Flip 5,Android 14,83,5,70,Business,Winter,16,64,25,Under Warranty,0,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,3197,4,Clear app data. Factory reset. Replace camera if hardware issue.
Desktop,Apple,Mac Studio M2 Ultra,Ubuntu 22.04,24,5,7,Business,Winter,16,1024,0,Expired,3,Clicking Sound,Slow Performance,File Corruption,HDD,High,1416,1,Backup data immediately. Replace HDD. Run bad sector scan.
Printer,Epson,WorkForce WF-7820,macOS Sonoma,35,4,21,Education,Autumn,0,0,0,Under Warranty,4,Printer Offline,Cannot Print Wirelessly,Network Not Found,WiFi Module,Medium,2094,1,Reset network settings. Reconnect to WiFi. Update printer firmware.
Tablet,OnePlus,Pad Go,Android 13,29,7,22,Business,Summer,4,128,22,Extended Warranty,2,Loose Charging,Slow Charging,Not Charging,Charging Port,Medium,2785,3,Clean port with compressed air. Replace charging port.
Laptop,Apple,MacBook Pro M2,macOS Ventura,44,9,29,Office,Winter,8,2048,75,Under Warranty,4,Overheating,Fan Noise,Auto Shutdown,Cooling Fan,High,2479,1,Clean dust from fan/heatsink. Replace thermal paste. Replace fan if faulty.
Desktop,Lenovo,IdeaCentre 5i,Linux Mint 21,22,7,8,Office,Summer,32,256,0,Extended Warranty,3,PC Not Starting,Power Button Stuck,Intermittent Power,Power Button,Low,317,1,Check front panel connectors. Replace power button if faulty.
Mobile,Motorola,Edge 50 Pro,Android 12,27,16,26,Developer,Monsoon,8,1024,95,Extended Warranty,0,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,2697,2,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Mobile,Apple,iPhone 12,Android 12,75,6,69,Student,Summer,12,512,16,Under Warranty,4,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,2338,2,"Recalibrate battery. If issue persists, replace battery."
Smartwatch,Fitbit,Charge 6,WatchOS 9,13,7,5,Gaming,Autumn,1,8,58,Under Warranty,0,SpO2 Not Reading,Sensor Error,Blood Oxygen Inaccurate,SpO2 Sensor,Medium,3192,3,Clean sensor. Update firmware. Replace SpO2 sensor module.
Mobile,Oppo,Reno 10 Pro,Android 14,28,3,19,Normal,Summer,4,1024,50,Extended Warranty,1,Bluetooth Not Connecting,Drops Connection,Cannot Pair,Bluetooth Module,Low,1002,5,Toggle Bluetooth off/on. Clear paired devices. Factory reset if issue persists.
Smart TV,Samsung,QLED Q80C,Android TV 11,25,8,19,Healthcare,Winter,4,32,0,Under Warranty,1,TV Not Turning On,Stuck On Logo,HDMI Not Working,Main Board,Critical,7688,8,Replace main/motherboard. Visit service center.
Smartwatch,MI,Watch S1 Pro,Wear OS 4,21,14,17,Student,Spring,1,32,73,Extended Warranty,0,Fast Battery Drain,Not Charging,Battery Percentage Dropping Fast,Battery,High,4881,4,Calibrate battery. Reduce AOD and GPS usage. Replace battery if capacity below 70%.
Tablet,Samsung,Galaxy Tab A8,Android 14,17,16,8,Content Creator,Summer,12,512,20,Extended Warranty,0,WiFi Dropping,Cannot Connect,Slow WiFi,WiFi Module,Medium,1033,3,Update firmware. Reset network settings. Replace WiFi module.
Laptop,Razer,Blade Stealth 13,macOS Sonoma,1,10,1,Gaming,Winter,32,256,77,Extended Warranty,1,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,2958,4,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Laptop,Dell,Alienware m18,Windows 11 Pro,62,9,44,Gaming,Monsoon,32,512,19,Extended Warranty,2,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,2976,1,Try different power outlet. Replace charger/adapter. Check charging port.
Laptop,Microsoft,Surface Laptop Studio 2,Windows 10,7,14,3,Business,Summer,16,256,74,Expired,3,Fan Always Running,Loud Fan Noise,High CPU Temperature,Cooling Fan,Medium,624,1,Clean vents. Update BIOS. Replace thermal paste.
Tablet,OnePlus,Pad,Android 14,7,2,2,Education,Monsoon,6,512,56,Expired,0,Not Powering On,Loop Restart,Touch Completely Dead,Motherboard,Critical,10835,9,Motherboard replacement required. Visit authorized service center.
Laptop,HP,Omen 17,macOS Sonoma,52,9,36,Office,Summer,8,512,48,Extended Warranty,1,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,4045,2,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Smartwatch,Amazfit,T-Rex Ultra,Wear OS 4,63,4,51,Student,Monsoon,1,8,29,Expired,4,No Haptic Feedback,Weak Vibration,Notification Not Felt,Vibration Motor,Low,1315,2,Check haptic settings. Replace vibration motor module.
Smart TV,OnePlus,Q2 Pro,Google TV,47,3,38,Education,Summer,1,16,0,Expired,1,USB Not Detected,Media Not Playing,USB Device Error,USB Port,Low,1489,3,Try different USB drive. Update TV firmware. Replace USB board.
Router,D-Link,DIR-X3260,OpenWRT,76,6,71,Business,Spring,0,0,0,Extended Warranty,1,No Wired Connection,Port Not Detected,Slow LAN Speed,LAN Port,Medium,1691,2,Check ethernet cable. Try different LAN port. Replace router if multiple ports fail.
Desktop,Lenovo,ThinkCentre M90q,Windows 11 Pro,52,12,37,Student,Monsoon,64,512,0,Under Warranty,3,No Audio,Crackling Sound,Audio Device Not Found,Sound Card,Low,2000,2,Update audio drivers. Check connections. Replace sound card if needed.
Smartwatch,boAt,Lunar Pro,WatchOS 10,74,4,59,Gaming,Spring,1,8,70,Expired,4,Fast Battery Drain,Not Charging,Battery Percentage Dropping Fast,Battery,High,4573,3,Calibrate battery. Reduce AOD and GPS usage. Replace battery if capacity below 70%.
Laptop,Acer,ConceptD 7,macOS Sonoma,38,9,29,Content Creator,Winter,8,1024,46,Extended Warranty,1,Fan Always Running,Loud Fan Noise,High CPU Temperature,Cooling Fan,Medium,1010,1,Clean vents. Update BIOS. Replace thermal paste.
Mobile,Oppo,Find X7 Pro,iOS 17,14,4,9,Education,Spring,12,256,93,Extended Warranty,1,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,3798,5,Replace Charging IC chip — requires motherboard-level repair.
Smartwatch,Garmin,Vivoactive 5,WatchOS 10,79,14,75,Office,Summer,1,4,70,Expired,2,Call Audio Not Clear,Voice Assistant Not Working,Mic Not Detected,Microphone,Low,1785,2,Clean microphone opening. Replace microphone module.
Smart TV,LG,UQ9000,WebOS 22,54,1,46,Gaming,Summer,1,32,0,Under Warranty,0,Half Screen Dark,Horizontal Lines,Color Issues,T-Con Board,High,2608,5,Replace T-Con board. Experienced technician required.
Desktop,Acer,Predator Orion 7000,Ubuntu 22.04,44,8,28,Healthcare,Summer,64,1024,0,Extended Warranty,4,Poor Airflow,High Case Temperature,Loud Case Noise,Cabinet Fan,Low,1378,1,Clean case fans. Add additional fans. Optimize cable management.
Laptop,Asus,VivoBook 15,macOS Ventura,45,6,41,Healthcare,Winter,8,256,77,Extended Warranty,1,Keys Not Working,Sticky Keys,Random Characters Typing,Keyboard,Medium,2156,2,Clean keyboard with compressed air. Replace keyboard if keys are physically damaged.
Laptop,Asus,ROG Strix G16,macOS Ventura,11,12,10,Office,Spring,8,2048,40,Expired,0,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,1338,1,Try different power outlet. Replace charger/adapter. Check charging port.
Tablet,Asus,Vivobook Slate T3304,Fire OS 8,45,4,32,Normal,Monsoon,3,512,70,Under Warranty,4,Loose Charging,Slow Charging,Not Charging,Charging Port,Medium,1685,2,Clean port with compressed air. Replace charging port.
Mobile,OnePlus,Nord 3,Android 12,47,12,33,Normal,Spring,12,1024,68,Extended Warranty,2,No Power,Random Restart,Touch Not Working,Motherboard,Critical,9846,10,Motherboard-level repair needed. Visit authorized service center immediately.
Smartwatch,Garmin,Epix Pro Gen 2,Fitbit OS 6,82,8,77,Student,Monsoon,1,16,46,Extended Warranty,2,No GPS Signal,Inaccurate Location,GPS Not Locking,GPS Module,Medium,3610,4,Update firmware. Sync with phone. Replace GPS module if hardware fault.
Printer,HP,ENVY 6055e,macOS Sonoma,39,12,38,Gaming,Monsoon,0,0,0,Extended Warranty,3,Light Print,Toner Low Warning,Streaks On Print,Toner Cartridge,Low,879,1,Shake toner cartridge gently. Replace if empty.
Mobile,Apple,iPhone 12,Android 14,2,10,1,Education,Winter,6,512,59,Under Warranty,4,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,3529,5,Replace Charging IC chip — requires motherboard-level repair.
Laptop,Razer,Blade Stealth 13,Windows 10,45,6,43,Education,Monsoon,16,2048,28,Extended Warranty,1,Hinge Broken,Lid Not Closing,Hinge Cracking,Hinge,Medium,3176,4,Replace laptop hinge. Physical repair at service center.
Smartwatch,boAt,Wave Call 3,Fitbit OS 6,4,9,1,Gaming,Autumn,2,32,41,Expired,1,Not Charging,Loose Charger,Wireless Charging Failure,Charging Port,Medium,2683,1,Clean charging contacts. Try different charger. Replace charging module.
Mobile,Oppo,Find X7,iOS 17,9,7,5,Business,Summer,12,64,46,Extended Warranty,4,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,4548,4,"Try original charger. If issue persists, replace Charging IC."
Mobile,Motorola,Edge 40 Pro,iOS 15,26,14,10,Gaming,Monsoon,16,128,40,Extended Warranty,2,Bluetooth Not Connecting,Drops Connection,Cannot Pair,Bluetooth Module,Low,2960,5,Toggle Bluetooth off/on. Clear paired devices. Factory reset if issue persists.
Tablet,Amazon,Fire HD 10,iPadOS 17,53,2,39,Student,Summer,8,512,67,Under Warranty,1,Loose Charging,Slow Charging,Not Charging,Charging Port,Medium,923,3,Clean port with compressed air. Replace charging port.
Smartwatch,Amazfit,Falcon,Wear OS 3,19,2,3,Developer,Spring,2,16,21,Extended Warranty,4,Digital Crown Stuck,Button Not Responding,Crown Fallen Off,Crown Button,Low,1831,4,Clean around crown. Replace digital crown assembly.
Desktop,MSI,Trident AS,Linux Mint 21,63,7,48,Healthcare,Summer,8,1024,0,Expired,1,Date Reset On Boot,BIOS Settings Lost,Boot Error,CMOS Battery,Low,190,1,Replace CMOS battery (CR2032). Reconfigure BIOS settings.
Laptop,Acer,Aspire 5,macOS Ventura,8,16,3,Education,Spring,16,256,66,Expired,4,Poor Backup,Battery Swelling,Heating,Battery,Medium,3576,3,Replace laptop battery. Use only manufacturer-approved battery.
Router,D-Link,COVR-X1862,DD-WRT,50,9,33,Content Creator,Spring,0,0,0,Under Warranty,2,USB Storage Not Detected,Printer Sharing Fails,NAS Not Working,USB Port,Low,1501,4,Reformat USB drive to FAT32/NTFS. Update router firmware. Replace USB port.
Desktop,Apple,Mac Mini M2 Pro,Windows 11 Home,81,7,67,Student,Summer,32,4096,0,Expired,1,System Off Suddenly,Burn Smell,Power Loss,PSU,Critical,3482,3,Replace Power Supply Unit immediately. Do not use until replaced — fire risk.
Laptop,Lenovo,Legion 7i,macOS Ventura,82,2,64,Student,Winter,16,1024,81,Expired,1,Camera Not Working,Blurry Video,Black Screen In Camera,Webcam,Low,2002,1,Update camera drivers. Check privacy shutter. Replace webcam module.
Desktop,Lenovo,ThinkCentre M90q,Ubuntu 22.04,21,9,16,Business,Summer,8,256,0,Extended Warranty,1,Clicking Sound,Slow Performance,File Corruption,HDD,High,3598,2,Backup data immediately. Replace HDD. Run bad sector scan.
